Catalog Item,Товар / услуга
Catalog Group,Группа товаров
Catalog Unit,Единица измерения
Catalog Supplier,Поставщик
Catalog Price Type,Тип цены
Catalog Warehouse,Склад
Catalog Assortment,Ассортимент точки
Business Point,Точка
Organization,Организация
Product,Товар
Service,Услуга
Bundle,Комплект
Central,Центральная компания
Franchisee,Франчайзи
Copy Center,Копировальный центр
Sales Point,Точка продаж
Production Hub,Производственный центр
Warehouse,Склад
Selling,Продажа
Buying,Закупка
Moving Average,Средняя себестоимость
FIFO,FIFO
None,Без прослеживаемости
Batch,Партии
Serial,Серийные номера
Not linked,Не связан
Pending,Ожидает
Synced,Синхронизирован
Error,Ошибка
